prompt,response,clauses_text_final,voice,idx,abstraction_score_normalized,reading_ease_normalized,grading_level_normalized
The past,"Winds through us, both from our lives and cultural and worldly roots, reaches back onto geological and cosmological timescales, can be folded into our present and / or we can occupy it, can have us, may have many of us in the sense that much happens from our conscious and unconscious assessment or drives from it; and it is past - so its really bizarre that it matters and as this it is a very tangible representation of our attachment to our egos, attachment to a version of this as supposed reality, detachment from (probably) our full potential 'nowâ€™, while the past is deeply important for how we can act â€“ where would we be without the multiple beautiful structures - physical thought practice nurture and being to try and define only a few â€“ for what this creates within and for us.","['Winds through us both from our lives and cultural and worldly roots reaches back onto geological and cosmological timescales', 'can be folded into our present and or', 'we can occupy', 'it can have', 'us may have many of us in the sense', 'that much happens from our conscious and unconscious assessment or', 'drives from it', 'and it is past so its really bizarre', 'that it matters', 'and as this it is a very tangible representation of our attachment to our egos attachment to a version of this as supposed reality detachment from probably our full potential now', 'while the past is deeply important for', 'how we can act', 'where would we be without the multiple beautiful structures physical thought practice nurture and', 'being to try and', 'define only a few for', 'what this creates within and for us']","['A_pron_x', 'A_pron_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_def', 'A_pron_x', 'A_def', 'A_pron_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def']",0,"[1.0, 1.0, 1.0, 1.0, 0.56, 1.0, 0.48, 0.56, 0.56, 1.0, 0.56, 1.0, 1.0, 0.56, 0.56, 1.0]","[0.23, 0.08, 0.17, 0.01, 0.02, 0.18, 0.01, 0.08, 0.09, 0.26, 0.09, 0.01, 0.22, 0.07, 0.11, 0.09]","[0.32, 0.12, 0.18, 0.02, 0.07, 0.22, 0.02, 0.12, 0.1, 0.42, 0.12, 0.02, 0.29, 0.09, 0.13, 0.12]"
At times I worry about,"Insufficient care and attention for his egocentric being, mostly worried about world scale justice, equity, and fairness (including all living systems) cares, and worried about low worry for immediate community and family sometime too.",['Insufficient care and attention for his egocentric being mostly worried about world scale justice equity and fairness including all living systems cares and worried about low worry for immediate community and family sometime too'],['A_pron_x'],1,[1.0],[0.31],[0.49]
What gets me into trouble is,not considering others possibilities.,['not considering others possibilities'],['A_def'],2,[1.0],[0.51],[0.52]
When people are helpless,They often don&#039;t know it so they flak around doing nothing.,"['They often don', 't know it', 'so they flak around doing nothing']","['P_bevb_x', 'A_def', 'A_def', 'A_def']",3,"[0.56, 0.56, 0.56]","[0.09, 0.01, 0.1]","[0.1, 0.02, 0.12]"
Privacy,is a sense of hiding from others that which you don&#039;t want them to know and they probably know anyway.,"['is a sense of', 'hiding from others that', 'which you don t want and', 'them to know', 'they probably know anyway']","['P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def']",4,"[0.56, 0.56, 1.0, 0.56, 0.56]","[0.01, 0.13, 0.01, 0.01, 0.2]","[0.02, 0.15, 0.04, 0.02, 0.21]"
If I can\'t get what I want,I really don&#039;t want that much any more.,"['want', 'I really don', 't want that much any more']","['A_def', 'P_bevb_x', 'A_def']",5,"[0.56, 0.88, 1.0]","[0.0, 0.17, 0.01]","[0.0, 0.18, 0.04]"
Change is,hj;oh,['hj'],['Undefined'],6,[0.56],[0.0],[0.0]
When people are helpless,At times I try to find other ways of doing thing. But sometime I might be disappointed and stop or quit.,"['At times I try to find other ways of', 'doing thing', 'But sometime I might be', 'disappointed and', 'stop or quit']","['A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_get_x', 'A_def', 'A_def']",7,"[0.88, 0.56, 0.88, 0.56, 0.48]","[0.05, 0.13, 0.06, 0.38, 0.01]","[0.09, 0.13, 0.08, 0.38, 0.02]"
When I am criticized,"I often find myself running through a microgeny of inner responses, starting with early emotional & defensive ones, and hopefully progressing through successively more mature ones, & the maturity and appropriateness of the overt response varies according to the point of expression 
 to which point of this inner progression ","['I often find', 'myself running through a microgeny of inner responses and', 'starting with early emotional defensive ones', 'hopefully progressing through successively more mature ones the maturity and appropriateness of the overt response', 'varies', 'according to the point of expression to which point of this inner progression']","['A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def']",8,"[0.88, 1.0, 0.56, 1.0, 0.48, 1.0]","[0.09, 0.22, 0.26, 0.31, 0.0, 0.17]","[0.1, 0.26, 0.29, 0.38, 0.0, 0.23]"
Being with other people,Is a mutually mutating meeting of universes ,"['Is a meeting of universes', 'mutually mutating']","['P_bevb_x', 'A_def']",9,"[0.88, 0.56]","[0.16, 0.63]","[0.18, 0.63]"
If I had more money,I would work more for the greater good of the world. I feel I would be more purposeful and selfless.,"['I would work more for the greater good of the world', 'I feel', 'I would be more purposeful and selfless']","['P_bevb_x', 'A_def', 'P_bevb_x']",10,"[0.88, 0.88, 0.88]","[0.03, 0.0, 0.13]","[0.08, 0.01, 0.16]"
People who step out of line,change the line and provide others the opportunity to realise new potential futures that where not possible until that instance in time that revealed it was possible to change the line&#039;s trajectory.,"['change the line and that where not possible until that instance in time', 'provide others the opportunity', 'to realise new potential futures', 'that revealed', 'it was possible to change the line s trajectory']","['A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x', 'A_pron_x']",11,"[1.0, 0.56, 0.56, 0.56, 1.0]","[0.11, 0.38, 0.21, 0.13, 0.16]","[0.18, 0.4, 0.23, 0.13, 0.21]"
Technology,"has been one of the most significant disruptors of the very fabric of society and has been the capstone of hope for a ‘better future’ for many; and a cornerstone of deceit for a much larger engine of institutionalised social change - the ‘economy’, that has endlessly promised to make our lives simpler, easier, more comfortable, and more enjoyable. And when I take my mobile phone out of my pocket in the morning on the way to work to ring my wife, who is also on her way to work, technology is an amazing gift that allows two people who desire ongoing connection with each other the opportunity to do so.","['has been one of the most significant disruptors of the very fabric of society and', 'has been the capstone of hope for a better future for many and a cornerstone of deceit for a much larger engine of institutionalised social change the economy', 'that has endlessly promised to make our lives simpler easier more comfortable and more enjoyable', 'when I take my mobile phone out of my pocket in the morning on the way', 'to work', 'to ring my wife', 'who is also on her way', 'to work technology', 'And is an amazing gift', 'that allows two people', 'who desire ongoing connection with each other the opportunity', 'to do so']","['P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_pron_x', 'A_pron_x', 'A_def', 'A_pron_x', 'A_pron_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x']",12,"[1.0, 1.0, 1.0, 1.0, 0.48, 0.56, 0.56, 1.0, 0.56, 0.56, 1.0, 0.0]","[0.18, 0.21, 0.19, 0.09, 0.0, 0.01, 0.06, 0.26, 0.06, 0.13, 0.3, 0.01]","[0.25, 0.36, 0.27, 0.17, 0.01, 0.02, 0.08, 0.27, 0.08, 0.15, 0.34, 0.02]"
If I can\'t get what I want,"I work hard to step back, recognize the attachment, stay with the feeling, relax into it and in time it lets go","['want', 'I work hard', 'to step back', 'recognize the attachment', 'stay with the feeling relax into it and', 'it lets', 'in time go']","['A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def']",13,"[0.56, 0.88, 1.0, 1.0, 0.56, 0.44, 0.56]","[0.0, 0.01, 0.01, 0.34, 0.11, 0.0, 0.01]","[0.0, 0.02, 0.02, 0.35, 0.15, 0.01, 0.02]"
Privacy,"is about avoiding the fear of exposing ourselves &#x28;or others&#x29; to the judgment of others - it&#039;s probably not a &#039;need&#039;, but a &#039;want&#039; that has become an expectation in western society.","['is about', 'avoiding the fear of', 'exposing ourselves or others to the judgment of others', 'it s probably not a need but a want', 'that has become an expectation in western society']","['P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x']",14,"[0.48, 0.56, 0.56, 0.56, 1.0]","[0.0, 0.07, 0.19, 0.08, 0.24]","[0.01, 0.09, 0.23, 0.12, 0.28]"
If I had more money,"I would have less debt, and would be more confident that I could support my parents into their retirement. If I had more money, I feel like I could take more risks in regards to where I work, or even starting my own company that could be more rewarding in the long run. I do not equate money with happiness, but given my situation it would mean more stability in my family.","['I would have less debt and', 'would be more confident', 'that I could support my parents into their retirement', 'If I had more money', 'I feel', 'like I could take more risks in regards to', 'I work or', 'where even starting my own company', 'that could be more rewarding in the long run', 'I do not equate money with happiness but', 'given my situation', 'it would mean more stability in my family']","['P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_pron_x', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_pron_x']",15,"[0.88, 1.0, 1.0, 0.88, 0.88, 1.0, 0.88, 1.0, 1.0, 0.88, 0.56, 0.56]","[0.01, 0.13, 0.16, 0.06, 0.0, 0.05, 0.01, 0.14, 0.08, 0.11, 0.34, 0.18]","[0.04, 0.15, 0.21, 0.08, 0.01, 0.09, 0.02, 0.17, 0.12, 0.15, 0.35, 0.21]"
