prompt,response,score,PassAct,survOgive,survey_id,prompt_number,prompt_id,UID
We could make the world a better place if,we could stop smoking!,1.5,a,1.5,2500,13,40,02500.013.
If I had more money,I'll buy a mansion,1.5,a,1.5,2544,24,24,02544.024.
We could make the world a better place if,you could do whatever you want,1.5,a,1.5,2543,13,40,02543.013.
When they avoided me,I avoid them back,1.5,a,3.0,2821,17,17,02821.017.
Children who step out of line,I don't know what that means (when children don't follow the rules) cuz I don't want to,1.5,a,2.0,2508,27,98,02508.027.
What gets me into trouble is,Eating The HARVEST,1.5,a,2.0,2784,8,8,02784.008.
The past,you have to be careful,1.5,a,1.5,2498,14,14,02498.014.
If I had more money,you could buy lots of things,1.5,a,1.5,2550,24,24,02550.024.
My family,has a cat...I don't have a cat though I have 2 dogs,1.5,a,1.5,2507,1,90,02507.001.
If I had more money,I would get to see the Star Wars movie actors in real life.,1.5,a,2.0,2532,24,24,02532.024.
We could make the world a better place if,if we don't run on the concrete,1.5,a,1.5,2533,13,40,02533.013.
If my mother,"liked watching TV we would probably watch it every day, but she doesn't",1.5,a,2.0,2535,29,29,02535.029.
My main problem is,if somebody hits me,1.5,a,1.5,2503,25,25,02503.025.
Sometimes I wish that,I got everything I wanted,1.5,a,1.5,2543,36,48,02543.036.
Bullying could be stopped if,you stand up for yourself.,1.5,a,2.0,2535,19,96,02535.019.
We could make the world a better place if,I don't really know,1.5,a,1.5,2507,13,40,02507.013.
When I am nervous,this one is another tough one: I got to a grownup,1.5,a,2.0,2506,33,33,02506.033.
Sometimes I wish that,I had more money! LOL. ,1.5,a,6.5,2338,36,48,02338.036.
My father,always smacks me,1.5,a,1.5,2503,31,31,02503.031.
When I get mad,I normally yell at people or slam my door.,1.5,a,2.0,2513,26,26,02513.026.
My main problem is,if I gotten by a nature,2.0,p,1.5,2543,25,25,02543.025.
If I had more money,I would be who I'm suppost to be. ,2.0,p,3.0,2806,24,24,02806.024.
My father,is unknown to me,2.0,p,2.0,2783,31,31,02783.031.
Children who step out of line,if it's to push in front of someone I wouldn't like that,2.0,p,2.0,2545,27,98,02545.027.
I feel sorry,for durg addicts. ,2.0,p,3.5,2807,16,16,02807.016.
I am,sorry for stepping on your toe,2.0,p,1.5,2505,23,23,02505.023.
The thing I like about myself is,that I am friendly,2.0,p,2.0,2542,6,6,02542.006.
My father,gives you treats,2.0,p,1.5,2504,31,31,02504.031.
When I am nervous,I don't really get nervous so I don't really know,2.0,p,1.5,2550,33,33,02550.033.
Privacy,gets people in trouble.,2.0,p,3.0,2806,15,41,02806.015.
Crime and delinquency could be halted if,we were all babies. ,2.0,p,3.0,2779,19,19,02779.019.
When I am nervous,I get my tummy gets sick kind of.,2.0,p,2.0,2546,33,33,02546.033.
Privacy,when I am in the shower I like privacy.,2.0,p,2.0,2532,15,41,02532.015.
Rules,are meant to be broken.,2.0,p,3.5,1864,18,42,01864.018.
Privacy,I have a sister and sometimes I WANT HER TO BE OUT OF MY SPACE.,2.0,p,2.0,2551,15,41,02551.015.
When I am nervous,I get fitchetty. ,2.0,p,3.5,2807,33,33,02807.033.
Grandparents,make me feel happy,2.0,p,2.0,2536,3,91,02536.003.
Crime and delinquency could be halted if,The world was sinless.,2.0,p,3.5,2807,19,19,02807.019.
What I like to do best is,"lots of different things, making paper planes, running, playing soccer, riding my bike, scooter",2.0,p,1.5,2550,11,39,02550.011.
I just can't stand people who,are very annoying and do silly stuff in the class.,2.0,p,2.0,2513,21,21,02513.021.
If I can't get what I want,I just work harder at it until I do.,2.5,a,3.5,2355,32,32,02355.032.
When I am nervous,I remain calm and don't show it.,2.5,a,3.5,3178,33,33,03178.033.
My conscience bothers me if,Something I am in it goes wrong,2.5,a,4.0,1529,35,35,01529.035.
When I am nervous,I tend to clean and organize.,2.5,a,4.0,2601,33,33,02601.033.
If I can't get what I want,I work harder until I do.,2.5,a,4.0,1983,32,32,01983.032.
I feel sorry,about not being there for my family ,2.5,a,3.0,2786,16,16,02786.016.
What I like to do best is,spend time with those I love.,2.5,a,3.5,2829,11,39,02829.011.
If my mother,"ever bragged about me, I'd kill her!",2.5,a,3.0,2648,29,29,02648.029.
My conscience bothers me if,when I accidentally hurt Chattie. ,2.5,a,1.5,2505,35,35,02505.035.
When I am nervous,my palms sweat and my stomach hurts,2.5,a,3.5,1841,33,33,01841.033.
We could make the world a better place if,"if people didn't ruin it by building buildings every where, if people didn't ruin the whole world",2.5,a,1.5,2540,13,40,02540.013.
When they avoided me,I questioned myself. ,2.5,a,3.5,2807,17,17,02807.017.
If I were in charge,the first thing i would do is buying house to my mom.,2.5,a,4.0,2012,30,30,02012.030.
If I were in charge,I would  just give the opportunity to one of my parents...someone older than me I'm not really old enough to stay in charge.,2.5,a,2.0,2546,30,30,02546.030.
If I were in charge,I would slow things way down.,2.5,a,4.0,2774,30,30,02774.030.
If I had more money,"it would be easier to pay the payments for my retirement insurance  I would renewe some of our windows, where the wind blows in",2.5,a,4.0,3441,24,24,03441.024.
Crime and delinquency could be halted if,people were loved as kids,2.5,a,3.5,2701,19,19,02701.019.
At times I worry about,"my children, my home and now also my business",2.5,a,3.5,1526,22,43,01526.022.
My conscience bothers me if,I have done something wrong to someone else.,2.5,a,3.5,1663,35,35,01663.035.
When people are helpless,I feel bad. I hate when I feel like,2.5,a,3.5,2670,10,10,02670.010.
At times I worry about,being able to support my family financially and emotionally.,3.0,p,3.5,1663,22,43,01663.022.
People who step out of line,should be dealt with behind closed doors.,3.0,p,3.5,2333,27,45,02333.027.
If I had more money,I would feel less constrained to travel to see my grown children.,3.0,p,4.0,2688,24,24,02688.024.
Education,is opportunity for people to grow,3.0,p,4.5,2559,9,9,02559.009.
When I get mad,I am completely ineffective and irrational,3.0,p,4.5,3380,26,26,03380.026.
Technology,is a friend of mine at long last.  It's the tool that brings my work out into the world. ,3.0,p,4.5,2187,34,47,02187.034.
Education,Fills me with a sense of joy. I enjoy learning new things that I find are of interest and enable me to feel more whole.,3.0,p,4.0,2047,9,9,02047.009.
Being with other people,is great socially,3.0,p,3.0,2306,5,5,02306.005.
Privacy,Is essential and a form of respect for individuals,3.0,p,4.0,3366,15,41,03366.015.
Technology,is here to stay and can be our best friend but our worst enemy ,3.0,p,4.0,3492,34,47,03492.034.
My conscience bothers me if,my conscience bothers me. Yep.,3.0,p,5.0,1796,35,35,01796.035.
Crime and delinquency could be halted if,if values and morals are instilled in children.,3.0,p,3.5,2359,19,19,02359.019.
I am,Mostly optimistic,3.0,p,3.5,3507,23,23,03507.023.
My mother and I,were both different and similar in some ways.,3.0,p,3.5,1666,7,7,01666.007.
My father,"is a great man, whom I admire.",3.0,p,3.5,2825,31,31,02825.031.
Being with other people,makes me more creative and productive.,3.0,p,3.5,3392,5,5,03392.005.
If my mother,was different I would also be different,3.0,p,4.0,3343,29,29,03343.029.
I feel sorry,for the true victims of this world. ,3.0,p,3.0,2778,16,16,02778.016.
Rules,are good but it is good to break them too (as long as your comfortable to face the consequences),3.0,p,3.5,3497,18,42,03497.018.
Being with other people,is beautiful when it's simply being.,3.0,p,3.5,1968,5,5,01968.005.
My father,"is someone i would like to understand more, being in the army his faade was hard.",3.5,a,3.5,2402,31,31,02402.031.
My co-workers and I,respect and support each other and work well together as a team.,3.5,a,5.0,1894,7,38,01894.007.
A partner has the right to,"To give their suggestions, ideas, to come up with their comments or requests",3.5,a,4.5,2041,28,46,02041.028.
My co-workers and I,would hide our negative feelings from our executive team when under enormous pressure at work.,3.5,a,4.0,2835,7,38,02835.007.
My main problem is,Staying In A Good mindset Long Term. ,3.5,a,2.0,2784,25,25,02784.025.
People who step out of line,should be given the chance to get back to normal as opposed to punishment,3.5,a,4.0,2281,27,45,02281.027.
If I can't get what I want,then maybe I have what I need.,3.5,a,5.5,2750,32,32,02750.032.
