UID,prompt_number,prompt_id,clause_num,num_clauses,num_words,respScore,PassAct,clauses_text_final,prompt,response,voice,ClauseCutOK?,AP_OK?,AP_rule,Comments
02500.013.00,13,40,0,1,4,1.5,a,['we could stop smoking'],We could make the world a better place if,we could stop smoking!,['P_bevb_x'],,,,
02500.013.01,,,1,,,1.5,,we could stop smoking,,,P_bevb_x,,,,
02544.024.00,24,24,0,1,4,1.5,a,['I ll buy a mansion'],If I had more money,I'll buy a mansion,['A_def'],,,,
02544.024.01,,,1,,,1.5,,I ll buy a mansion,,,A_def,,,,
02543.013.00,13,40,0,2,6,1.5,a,"['you could do', 'whatever you want']",We could make the world a better place if,you could do whatever you want,"['P_bevb_x', 'A_def']",,,,
02543.013.01,,,1,,,1.5,,you could do,,,P_bevb_x,,,,
02543.013.02,,,2,,,1.5,,whatever you want,,,A_def,,,,
02821.017.00,17,17,0,1,4,1.5,a,['I avoid them back'],When they avoided me,I avoid them back,['A_def'],,,,
02821.017.01,,,1,,,1.5,,I avoid them back,,,A_def,,,,
02508.027.00,27,98,0,6,17,1.5,a,"['I don', 't know', 'what that means', 'when children don', 't follow the rules', 'cuz I don t want to']",Children who step out of line,I don't know what that means (when children don't follow the rules) cuz I don't want to,"['P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x']",,,,
02508.027.01,,,1,,,1.5,,I don,,,P_bevb_x,,,,
02508.027.02,,,2,,,1.5,,t know,,,A_def,,,,
02508.027.03,,,3,,,1.5,,what that means,,,A_def,,,,
02508.027.04,,,4,,,1.5,,when children don,,,P_bevb_x,,,,
02508.027.05,,,5,,,1.5,,t follow the rules,,,A_def,,,,
02508.027.06,,,6,,,1.5,,cuz I don t want to,,,P_bevb_x,,,,
02784.008.00,8,8,0,0,3,1.5,a,[],What gets me into trouble is,Eating The HARVEST,[],,,,
02498.014.00,14,14,0,1,5,1.5,a,['you have to be careful'],The past,you have to be careful,['P_bevb_x'],,,,
02498.014.01,,,1,,,1.5,,you have to be careful,,,P_bevb_x,,,,
02550.024.00,24,24,0,1,6,1.5,a,['you could buy lots of things'],If I had more money,you could buy lots of things,['P_bevb_x'],,,,
02550.024.01,,,1,,,1.5,,you could buy lots of things,,,P_bevb_x,,,,
02507.001.00,1,90,0,4,12,1.5,a,"['has a cat', 'I don t', 'have a cat', 'though I have 2 dogs']",My family,has a cat...I don't have a cat though I have 2 dogs,"['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x']",,,,
02507.001.01,,,1,,,1.5,,has a cat,,,P_bevb_x,,,,
02507.001.02,,,2,,,1.5,,I don t,,,P_bevb_x,,,,
02507.001.03,,,3,,,1.5,,have a cat,,,P_bevb_x,,,,
02507.001.04,,,4,,,1.5,,though I have 2 dogs,,,P_bevb_x,,,,
02532.024.00,24,24,0,1,13,1.5,a,['I would get to see the Star Wars movie actors in real life'],If I had more money,I would get to see the Star Wars movie actors in real life.,['P_bevb_x'],,,,
02532.024.01,,,1,,,1.5,,I would get to see the Star Wars movie actors in real life,,,P_bevb_x,,,,
02533.013.00,13,40,0,1,7,1.5,a,['if we don t run on the concrete'],We could make the world a better place if,if we don't run on the concrete,['P_bevb_x'],,,,
02533.013.01,,,1,,,1.5,,if we don t run on the concrete,,,P_bevb_x,,,,
02535.029.00,29,29,0,3,13,1.5,a,"['liked watching TV', 'we would probably watch it every day', 'but she doesn t']",If my mother,"liked watching TV we would probably watch it every day, but she doesn't","['A_def', 'P_bevb_x', 'P_bevb_x']",,,,
02535.029.01,,,1,,,1.5,,liked watching TV,,,A_def,,,,
02535.029.02,,,2,,,1.5,,we would probably watch it every day,,,P_bevb_x,,,,
02535.029.03,,,3,,,1.5,,but she doesn t,,,P_bevb_x,,,,
02503.025.00,25,25,0,1,4,1.5,a,['if somebody hits me'],My main problem is,if somebody hits me,['A_def'],,,,
02503.025.01,,,1,,,1.5,,if somebody hits me,,,A_def,,,,
02543.036.00,36,48,0,2,5,1.5,a,"['I got everything', 'I wanted']",Sometimes I wish that,I got everything I wanted,"['A_def', 'A_def']",,,,
02543.036.01,,,1,,,1.5,,I got everything,,,A_def,,,,
02543.036.02,,,2,,,1.5,,I wanted,,,A_def,,,,
02535.019.00,19,96,0,1,5,1.5,a,['you stand up for yourself'],Bullying could be stopped if,you stand up for yourself.,['A_def'],,,,
02535.019.01,,,1,,,1.5,,you stand up for yourself,,,A_def,,,,
02507.013.00,13,40,0,2,4,1.5,a,"['I don t', 'really know']",We could make the world a better place if,I don't really know,"['P_bevb_x', 'A_def']",,,,
02507.013.01,,,1,,,1.5,,I don t,,,P_bevb_x,,,,
02507.013.02,,,2,,,1.5,,really know,,,A_def,,,,
02506.033.00,33,33,0,2,11,1.5,a,"['this one is another tough one', 'I got to a grownup']",When I am nervous,this one is another tough one: I got to a grownup,"['P_bevb_x', 'A_def']",,,,
02506.033.01,,,1,,,1.5,,this one is another tough one,,,P_bevb_x,,,,
02506.033.02,,,2,,,1.5,,I got to a grownup,,,A_def,,,,
02338.036.00,36,48,0,2,5,1.5,a,"['LOL', 'I had more money']",Sometimes I wish that,I had more money! LOL. ,"['Undefined', 'A_def']",,,,
02338.036.01,,,1,,,1.5,,LOL,,,Undefined,,,,
02338.036.02,,,2,,,1.5,,I had more money,,,A_def,,,,
02503.031.00,31,31,0,1,3,1.5,a,['always smacks me'],My father,always smacks me,['A_def'],,,,
02503.031.01,,,1,,,1.5,,always smacks me,,,A_def,,,,
02513.026.00,26,26,0,2,9,1.5,a,"['I normally yell at people or', 'slam my door']",When I get mad,I normally yell at people or slam my door.,"['A_def', 'A_pron_x']",,,,
02513.026.01,,,1,,,1.5,,I normally yell at people or,,,A_def,,,,
02513.026.02,,,2,,,1.5,,slam my door,,,A_pron_x,,,,
02543.025.00,25,25,0,1,6,2.0,p,['if I gotten by a nature'],My main problem is,if I gotten by a nature,['A_def'],,,,
02543.025.01,,,1,,,2.0,,if I gotten by a nature,,,A_def,,,,
02806.024.00,24,24,0,3,8,2.0,p,"['I would be who', 'I m', 'suppost to be']",If I had more money,I would be who I'm suppost to be. ,"['P_bevb_x', 'A_def', 'P_bevb_x']",,,,
02806.024.01,,,1,,,2.0,,I would be who,,,P_bevb_x,,,,
02806.024.02,,,2,,,2.0,,I m,,,A_def,,,,
02806.024.03,,,3,,,2.0,,suppost to be,,,P_bevb_x,,,,
