UID,abstraction_score_normalized,abstraction_weight,clause_num,clauses_text_final,final_abstraction,final_grading_level,final_reading_ease,final_score,final_sgrank,final_voice,grading_level_normalized,grading_level_weight,num_clauses,num_words,prompt,prompt_id,prompt_number,reading_ease_normalized,reading_ease_weight,response,sgrank_normalized,sgrank_weight,survey_id,voice,voice_abstraction,voice_grading_level,voice_reading_ease,voice_sgrank
1357.14,"[1.0, 1.0, 1.0, 1.0, 0.56, 1.0, 0.48, 0.56, 0.56, 1.0, 0.56, 1.0, 1.0, 0.56, 0.56, 1.0]",1.1268606790433182,0,"['Winds through us both from our lives and cultural and worldly roots reaches back onto geological and cosmological timescales', 'can be folded into our present and or', 'we can occupy', 'it can have', 'us may have many of us in the sense', 'that much happens from our conscious and unconscious assessment or', 'drives from it', 'and it is past so its really bizarre', 'that it matters', 'and as this it is a very tangible representation of our attachment to our egos attachment to a version of this as supposed reality detachment from probably our full potential now', 'while the past is deeply important for', 'how we can act', 'where would we be without the multiple beautiful structures physical thought practice nurture and', 'being to try and', 'define only a few for', 'what this creates within and for us']",1.0,0.42,0.26,0.45,0.12,A_pron_x,"[0.32, 0.12, 0.18, 0.02, 0.07, 0.22, 0.02, 0.12, 0.1, 0.42, 0.12, 0.02, 0.29, 0.09, 0.13, 0.12]",4.740128396798874,16,143,The past,14,14,"[0.23, 0.08, 0.17, 0.01, 0.02, 0.18, 0.01, 0.08, 0.09, 0.26, 0.09, 0.01, 0.22, 0.07, 0.11, 0.09]",5.40513437625351,"Winds through us, both from our lives and cultural and worldly roots, reaches back onto geological and cosmological timescales, can be folded into our present and / or we can occupy it, can have us, may have many of us in the sense that much happens from our conscious and unconscious assessment or drives from it; and it is past - so its really bizarre that it matters and as this it is a very tangible representation of our attachment to our egos, attachment to a version of this as supposed reality, detachment from (probably) our full potential 'nowâ€™, while the past is deeply important for how we can act â€“ where would we be without the multiple beautiful structures - physical thought practice nurture and being to try and define only a few â€“ for what this creates within and for us.","[0.05, 0.0, 0.0, 0.0, 0.02, 0.08, 0.0, 0.05, 0.0, 0.03, 0.05, 0.0, 0.12, 0.0, 0.0, 0.0]",3.7532205278183968,1357,"['A_pron_x', 'A_pron_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_def', 'A_pron_x', 'A_def', 'A_pron_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def']",A_pron_x,A_pron_x,A_pron_x,P_bevb_x
,1.0,,1,Winds through us both from our lives and cultural and worldly roots reaches back onto geological and cosmological timescales,,,,,,,0.32,,,,,,,0.23,,,0.05,,,A_pron_x,,,,
,1.0,,2,can be folded into our present and or,,,,,,,0.12,,,,,,,0.08,,,0.0,,,A_pron_x,,,,
,1.0,,3,we can occupy,,,,,,,0.18,,,,,,,0.17,,,0.0,,,P_bevb_x,,,,
,1.0,,4,it can have,,,,,,,0.02,,,,,,,0.01,,,0.0,,,P_bevb_x,,,,
,0.56,,5,us may have many of us in the sense,,,,,,,0.07,,,,,,,0.02,,,0.02,,,P_bevb_x,,,,
,1.0,,6,that much happens from our conscious and unconscious assessment or,,,,,,,0.22,,,,,,,0.18,,,0.08,,,A_pron_x,,,,
,0.48,,7,drives from it,,,,,,,0.02,,,,,,,0.01,,,0.0,,,A_def,,,,
,0.56,,8,and it is past so its really bizarre,,,,,,,0.12,,,,,,,0.08,,,0.05,,,A_pron_x,,,,
,0.56,,9,that it matters,,,,,,,0.1,,,,,,,0.09,,,0.0,,,A_def,,,,
,1.0,,10,and as this it is a very tangible representation of our attachment to our egos attachment to a version of this as supposed reality detachment from probably our full potential now,,,,,,,0.42,,,,,,,0.26,,,0.03,,,A_pron_x,,,,
,0.56,,11,while the past is deeply important for,,,,,,,0.12,,,,,,,0.09,,,0.05,,,P_bevb_x,,,,
,1.0,,12,how we can act,,,,,,,0.02,,,,,,,0.01,,,0.0,,,P_bevb_x,,,,
,1.0,,13,where would we be without the multiple beautiful structures physical thought practice nurture and,,,,,,,0.29,,,,,,,0.22,,,0.12,,,P_bevb_x,,,,
,0.56,,14,being to try and,,,,,,,0.09,,,,,,,0.07,,,0.0,,,P_bevb_x,,,,
,0.56,,15,define only a few for,,,,,,,0.13,,,,,,,0.11,,,0.0,,,A_def,,,,
,1.0,,16,what this creates within and for us,,,,,,,0.12,,,,,,,0.09,,,0.0,,,A_def,,,,
1357.22,[1.0],1.1268606790433182,0,['Insufficient care and attention for his egocentric being mostly worried about world scale justice equity and fairness including all living systems cares and worried about low worry for immediate community and family sometime too'],1.0,0.49,0.31,0.47,0.08,A_pron_x,[0.49],4.740128396798874,1,34,At times I worry about,43,22,[0.31],5.40513437625351,"Insufficient care and attention for his egocentric being, mostly worried about world scale justice, equity, and fairness (including all living systems) cares, and worried about low worry for immediate community and family sometime too.",[0.08],3.7532205278183968,1357,['A_pron_x'],A_pron_x,A_pron_x,A_pron_x,A_pron_x
,1.0,,1,Insufficient care and attention for his egocentric being mostly worried about world scale justice equity and fairness including all living systems cares and worried about low worry for immediate community and family sometime too,,,,,,,0.49,,,,,,,0.31,,,0.08,,,A_pron_x,,,,
