response,clauses_text_final,final_score,final_voice
"Winds through us, both from our lives and cultural and worldly roots, reaches back onto geological and cosmological timescales, can be folded into our present and / or we can occupy it, can have us, may have many of us in the sense that much happens from our conscious and unconscious assessment or drives from it; and it is past - so its really bizarre that it matters and as this it is a very tangible representation of our attachment to our egos, attachment to a version of this as supposed reality, detachment from (probably) our full potential 'nowâ€™, while the past is deeply important for how we can act â€“ where would we be without the multiple beautiful structures - physical thought practice nurture and being to try and define only a few â€“ for what this creates within and for us.","['Winds through us both from our lives and cultural and worldly roots reaches back onto geological and cosmological timescales', 'can be folded into our present and or', 'we can occupy', 'it can have', 'us may have many of us in the sense', 'that much happens from our conscious and unconscious assessment or', 'drives from it', 'and it is past so its really bizarre', 'that it matters', 'and as this it is a very tangible representation of our attachment to our egos attachment to a version of this as supposed reality detachment from probably our full potential now', 'while the past is deeply important for', 'how we can act', 'where would we be without the multiple beautiful structures physical thought practice nurture and', 'being to try and', 'define only a few for', 'what this creates within and for us']",0.26,A_pron_x
"Insufficient care and attention for his egocentric being, mostly worried about world scale justice, equity, and fairness (including all living systems) cares, and worried about low worry for immediate community and family sometime too.",['Insufficient care and attention for his egocentric being mostly worried about world scale justice equity and fairness including all living systems cares and worried about low worry for immediate community and family sometime too'],0.28,A_pron_x
not considering others possibilities.,['not considering others possibilities'],0.32,A_def
They often don&#039;t know it so they flak around doing nothing.,"['They often don', 't know it', 'so they flak around doing nothing']",0.09,A_def
is a sense of hiding from others that which you don&#039;t want them to know and they probably know anyway.,"['is a sense of', 'hiding from others that', 'which you don t want and', 'them to know', 'they probably know anyway']",0.33,P_bevb_x
I really don&#039;t want that much any more.,"['want', 'I really don', 't want that much any more']",0.15,A_def
hj;oh,['hj'],0.04,Undefined
At times I try to find other ways of doing thing. But sometime I might be disappointed and stop or quit.,"['At times I try to find other ways of', 'doing thing', 'But sometime I might be', 'disappointed and', 'stop or quit']",0.33,A_def
"I often find myself running through a microgeny of inner responses, starting with early emotional & defensive ones, and hopefully progressing through successively more mature ones, & the maturity and appropriateness of the overt response varies according to the point of expression 
 to which point of this inner progression ","['I often find', 'myself running through a microgeny of inner responses and', 'starting with early emotional defensive ones', 'hopefully progressing through successively more mature ones the maturity and appropriateness of the overt response', 'varies', 'according to the point of expression to which point of this inner progression']",0.26,A_def
Is a mutually mutating meeting of universes ,"['Is a meeting of universes', 'mutually mutating']",0.47,A_def
I would work more for the greater good of the world. I feel I would be more purposeful and selfless.,"['I would work more for the greater good of the world', 'I feel', 'I would be more purposeful and selfless']",0.16,A_def
change the line and provide others the opportunity to realise new potential futures that where not possible until that instance in time that revealed it was possible to change the line&#039;s trajectory.,"['change the line and that where not possible until that instance in time', 'provide others the opportunity', 'to realise new potential futures', 'that revealed', 'it was possible to change the line s trajectory']",0.34,A_def
"has been one of the most significant disruptors of the very fabric of society and has been the capstone of hope for a ‘better future’ for many; and a cornerstone of deceit for a much larger engine of institutionalised social change - the ‘economy’, that has endlessly promised to make our lives simpler, easier, more comfortable, and more enjoyable. And when I take my mobile phone out of my pocket in the morning on the way to work to ring my wife, who is also on her way to work, technology is an amazing gift that allows two people who desire ongoing connection with each other the opportunity to do so.","['has been one of the most significant disruptors of the very fabric of society and', 'has been the capstone of hope for a better future for many and a cornerstone of deceit for a much larger engine of institutionalised social change the economy', 'that has endlessly promised to make our lives simpler easier more comfortable and more enjoyable', 'when I take my mobile phone out of my pocket in the morning on the way', 'to work', 'to ring my wife', 'who is also on her way', 'to work technology', 'And is an amazing gift', 'that allows two people', 'who desire ongoing connection with each other the opportunity', 'to do so']",0.24,A_def
"I work hard to step back, recognize the attachment, stay with the feeling, relax into it and in time it lets go","['want', 'I work hard', 'to step back', 'recognize the attachment', 'stay with the feeling relax into it and', 'it lets', 'in time go']",0.33,A_def
"is about avoiding the fear of exposing ourselves &#x28;or others&#x29; to the judgment of others - it&#039;s probably not a &#039;need&#039;, but a &#039;want&#039; that has become an expectation in western society.","['is about', 'avoiding the fear of', 'exposing ourselves or others to the judgment of others', 'it s probably not a need but a want', 'that has become an expectation in western society']",0.24,A_def
