survey_id,prompt_number,prompt_id,prompt,response,clauses_text_final,voice,idx,abstraction_score
2546,36,48,Sometimes I wish that,my mom would come home more often.,['my mom would come home more often'],['A_pron_x'],0,[0.25]
2507,1,90,My family,has a cat...I don't have a cat though I have 2 dogs,"['has a cat', 'I don t', 'have a cat', 'though I have 2 dogs']","['A_def', 'A_def', 'A_def', 'A_def']",1,"[0.25, 0.22, 0.25, 0.22]"
2510,33,33,When I am nervous,my hands get shaky,['my hands get shaky'],['A_pron_x'],2,[0.14]
2509,22,43,At times I worry about,"my own dreams, nightmares I have thousands of them","['my own dreams nightmares', 'I have thousands of them']","['Undefined', 'A_def']",3,"[0.14, 0.22]"
3356,34,47,Technology,its crazy and i wish i could keep up,"['and i wish', 'i could keep up']","['A_def', 'A_def']",4,"[0.14, 0.25]"
2537,26,26,When I get mad,I sometimes use big voice then I go somewhere quiet so I can cry by myself.,"['I sometimes use big voice', 'then I go somewhere quiet', 'so I can cry by myself']","['A_def', 'P_get_x', 'A_def']",5,"[0.25, 0.22, 0.25]"
1869,25,25,My main problem is,a feeling that I am not entitled,"['a feeling', 'that I am not entitled']","['Undefined', 'P_bevb_x']",6,"[0.14, 0.22]"
3127,29,29,If my mother,"was a different lady, I would not be who I am.","['was a different lady', 'I would not be', 'who I am']","['P_bevb_x', 'A_def', 'P_bevb_x']",7,"[0.14, 0.22, 0.22]"
1832,26,26,When I get mad,"it takes a long time to build up, but I am slow to forgive.","['it takes a long time but', 'to build up', 'I am slow to forgive']","['A_def', 'A_def', 'P_bevb_x', 'A_def']",8,"[0.14, 0.12, 0.22]"
2390,17,17,When they avoided me,"I felt safe, knowing that I could receive a warm welcome from my family and friends.","['I felt safe', 'that I could receive a warm welcome from my family and friends']","['P_get_x', 'A_pron_x']",9,"[0.22, 0.25]"
1880,36,48,Sometimes I wish that,I could be younger and have done things differently.,"['I could be younger and', 'have done things differently']","['P_get_x', 'A_def']",10,"[0.25, 0.14]"
2407,17,17,When they avoided me,I sought to find out 'why?' . Knowing the 'why' can begin Awareness and Healing,"['I sought to find out', 'why Knowing', 'the why can begin Awareness and Healing']","['A_def', 'A_def', 'A_def', 'A_def']",11,"[0.22, 0.14, 0.25]"
3233,5,5,Being with other people,is both a learning experience and an opportunity to exchange views.,"['is both a learning experience and an opportunity', 'to exchange views']","['P_bevb_x', 'A_def']",12,"[0.25, 0.25]"
2102,25,25,My main problem is,only a main problem if I think it is.,"['only a main problem', 'if I think', 'it is']","['Undefined', 'A_def', 'P_bevb_x']",13,"[0.14, 0.22, 0]"
1529,10,10,When people are helpless,At times I try to find other ways of doing thing. But sometime I might be disappointed and stop or quit.,"['At times', 'I try to find other ways of', 'doing thing', 'But sometime I might be disappointed and', 'stop or quit']","['Undefined', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def']",14,"[0.11, 0.22, 0.14, 0.22, 0.12]"
2856,31,31,My father,taught me how to think critically and to love deeply.,"['taught me how to think critically and', 'to love deeply']","['A_def', 'A_def', 'A_def']",15,"[0.25, 0.11]"
1975,32,32,If I can't get what I want,I try to work out another way of getting what I want,"['I try to work out another way of', 'what I want']","['A_def', 'A_def', 'A_def']",16,"[0.22, 0.22]"
2157,17,17,When they avoided me,hmmm... I'm stumped. I have no idea how to respond to this... Although there is a sense of relief...,"['hmmm', 'I m', 'I have no idea how to respond to this', 'Although there is a sense of relief']","['Undefined', 'A_def', 'A_def', 'A_def', 'P_bevb_x']",17,"[0.14, 0.22, 0.22, 0.14]"
2409,5,73,Loving other people,"can deepen with familiarity. Even with those who aren't a natural fit the differences between us can add color to the world as well as an opportunity to turn inward to see what is being triggered. Having said that, it's difficult for me to open my heart and trust.","['can deepen with familiarity Even with those t a natural fit the differences between us', 'who aren', 'can add color to the world as well as an opportunity', 'to turn inward', 'to see', 'what is being triggered', 'Having said', 'that it s difficult', 'for me to open my heart and trust']","['A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'P_get_x', 'A_pron_x']",18,"[0.25, 0.14, 0.25, 0.14, 0.11, 0.14, 0.14, 0.25, 0.14]"
2046,10,10,When people are helpless,I am inspired to reach out and be of service.,"['I am inspired to reach out and', 'be of service']","['P_bevb_x', 'A_def', 'A_def']",19,"[0.25, 0.25]"
2837,18,42,Rules,"are guard rails. It is good and helpful to have them. When you head in the right direction you never get in touch with them, no matter how fast or slow you travel. Good rules are not in your way.","['are guard rails', 'It is good and helpful to have them', 'When you head in the right direction', 'you never get in touch with them no matter how fast or slow', 'you travel', 'Good rules are not in your way']","['P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x']",20,"[0.12, 0.22, 0.25, 0.25, 0.12, 0.14]"
2381,34,47,Technology,"is a great tool, nice to have and can bring global humanity closer together in ways never before imagined. But if it were to disappear tomorrow, I'm of the generation that would be able to survive.","['is a great tool nice', 'to have and', 'can bring global humanity closer together in ways', 'never before imagined', 'if it were to disappear tomorrow', 'I m of the generation', 'that would be able to survive']","['P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'P_get_x', 'A_def']",21,"[0.25, 0.14, 0.25, 0.14, 0.12, 0.22, 0.14]"
2344,12,12,A good boss,A good boss is critical toward making a workplace environment healthy and successful!,"['A good boss is critical toward', 'making a workplace environment healthy and successful']","['P_bevb_x', 'A_def']",22,"[0.25, 0.25]"
2952,25,25,My main problem is,getting over decades spent proving myself.,"['getting over decades', 'spent proving myself']","['A_def', 'A_def', 'A_def']",23,"[0.25, 0.14]"
2721,16,16,I feel sorry,for the pain that all humans and all beings on this earth must endure as part of the experience of being here.,"['for the pain', 'that all humans and all beings on this earth must endure as part of the experience of', 'being here']","['Undefined', 'A_def', 'A_def']",24,"[0.14, 0.25, 0.14]"
2276,30,30,If I were in charge,"i would change that by facilitating change that made everyone in charge ... to the degree of their capabilities in wordly matters, but always in charge of their interior and their right to decide for themselves what is real and true for them.","['i would change that by', 'facilitating change in charge of their interior and their right', 'that made everyone in charge to the degree of their capabilities in wordly matters but always', 'to decide for themselves', 'what is real and true for them']","['A_def', 'A_pron_x', 'A_pron_x', 'A_def', 'P_bevb_x']",25,"[0.25, 0.25, 0.25, 0.25, 0.14]"
3099,22,43,At times I worry about,"big, big existential questions, and little microscopic ones... sometimes within milliseconds of one another.",['big big existential questions and little microscopic ones sometimes within milliseconds of one another'],['Undefined'],26,[0.25]
1883,1,1,Raising a family,is a profound gift. I am tending the future. I am tending the life processes. It is a place for love and life and evolution to soar.,"['is a profound gift', 'I am tending the future', 'I am tending', 'the life processes', 'It is a place for', 'love and life and evolution to soar']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def']",27,"[0.14, 0.22, 0.22, 0.25, 0.25, 0.14]"
1996,22,43,At times I worry about,"how differently I see and process things from many of the people I encounter, and whether I am wisely acting and interacting.","['I see and and', 'how differently process things from many of the people', 'I encounter', 'whether I am wisely acting and interacting']","['A_def', 'A_def', 'A_def', 'P_bevb_x']",28,"[0.22, 0.25, 0.25, 0.25]"
2374,11,39,What I like to do best is,be a conduit. There is no I.,"['be a conduit', 'There is no I']","['A_def', 'P_bevb_x']",29,"[0.25, 0.22]"
3158,5,5,Being with other people,"can be an isolating or a hugely enriching experience, the latter when each others presence liberates emergent thoughts or self expressions bringing forth a collective that is more than the sum of its parts","['can be an isolating or a experience the latter', 'hugely enriching', 'when each others presence liberates emergent thoughts or self expressions', 'bringing forth a collective', 'that is more than the sum of its parts']","['A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x']",30,"[0.25, 0.25, 0.25, 0.25, 0.14]"
2690,28,83,A teacher has the right to,I don't mean to be oppositional. . but this sentence stem. . .like so many others. . isn't one I can really answer outside of context. Rights. This is a wobbly construct. I'm sorry. I'm out of time otherwise I would write a bit about the possibility of rights . .the idea of having a right. . the usage of the language of rights.,"['but', 'I don t mean to be oppositional', 'this sentence stem like so many others isn t one', 'I can really answer outside of context', 'This is a wobbly construct', 'I m sorry', 'I m out of time', 'otherwise I would write a bit about the possibility of rights the idea of', 'having a right the usage of the language of rights']","['Undefined', 'P_get_x', 'P_get_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_get_x', 'A_def', 'A_def', 'A_def']",31,"[0.12, 0.22, 0.25, 0.25, 0.25, 0.22, 0.22, 0.22, 0.14]"
3321,5,5,Being with other people,is most often a pleasure and fascinating experience of seeing a completely different version of Self.,"['is most often a pleasure and fascinating experience of', 'seeing a completely different version of Self']","['P_bevb_x', 'A_def']",32,"[0.25, 0.25]"
2404,14,14,The past,is a construct to give form and structure to the present moment.,"['is a construct', 'to give form and structure to the present moment']","['P_bevb_x', 'A_def']",33,"[0.25, 0.25]"
2215,13,40,We could make the world a better place if,"the mystery was okay to be as a question, that is to say if the question was okay to be a question and the answer could be a question and the answers and questions could be held together because they need each other and we realize a little faster that they won't end and they are growing together and rest in that.","['the mystery was okay to be as a question', 'that is to say', 'if the question was okay to be a question and', 'the answer could be a question and', 'the answers and questions could be held together', 'because they need each other and', 'we realize a little faster', 'that they won t end', 'and they are growing together and', 'rest in that']","['P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def']",34,"[0.14, 0.14, 0.14, 0.25, 0.25, 0.25, 0.12, 0.14, 0.14, 0.14]"
3181,12,12,A good boss,"is a solar being ... one that brings light and eternal love without demanding anything of the others ... an energetic and gravitational field of such calm, peaceful magnitude that all are warmed and captivated by their glow ... brings a new burst life to all those who are in their presence","['is a solar', 'being one', 'that brings light and eternal love without', 'demanding anything of the others an energetic and gravitational field of such calm peaceful magnitude', 'that all are warmed and', 'captivated by their glow', 'brings a new burst life to all those', 'who are in their presence']","['P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_pron_x', 'A_def', 'A_pron_x']",35,"[0.12, 0.14, 0.14, 0.25, 0.14, 0.25, 0.14, 0.25]"
1823,35,35,My conscience bothers me if,"I'm not placing my feet on the path with an open heart, mind and spirit, tuning in to what's moving and showing up fully at the dance.","['not placing my feet on the path with an open heart mind and', 'I m', 'not placing my feet on the path with an open heart mind and', 'spirit tuning in to', 'what s moving and', 'showing up fully at the dance']","['A_pron_x', 'A_def', 'A_pron_x', 'A_def', 'A_def', 'A_def']",36,"[0.25, 0.22, 0.25, 0.14, 0.14, 0.25]"
